symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.002,1.5,0.05,1.5,6.1765,-39981.36,5.75,-61134.06,-107541.66,-21508.33,1,4,35407.37
ADANIPORTS26JUNFUT,0.002,1.5,0.05,2.0,5.4373,-57604.99,5.8175,-34799.8,-90367.32,-18073.46,1,4,32192.13
ADANIPORTS26JUNFUT,0.002,1.5,0.05,3.0,7.6431,-480.63,6.27,-24369.34,-27256.83,-5451.37,1,4,16412.89
ADANIPORTS26JUNFUT,0.002,1.5,0.1,1.0,7.6125,7258.82,5.3875,-103720.93,-113820.14,-22764.03,1,4,51953.96
ADANIPORTS26JUNFUT,0.002,1.5,0.1,1.5,6.1765,-39981.36,5.75,-61134.06,-107541.66,-21508.33,1,4,35407.37
ADANIPORTS26JUNFUT,0.002,1.5,0.1,2.0,5.4373,-57604.99,5.8175,-34799.8,-90367.32,-18073.46,1,4,32192.13
ADANIPORTS26JUNFUT,0.002,1.5,0.1,3.0,7.6431,-480.63,6.27,-24369.34,-27256.83,-5451.37,1,4,16412.89
ADANIPORTS26JUNFUT,0.002,1.5,0.25,1.0,7.6125,7258.82,5.3875,-103720.93,-113820.14,-22764.03,1,4,51953.96
ADANIPORTS26JUNFUT,0.002,1.5,0.25,1.5,6.1765,-39981.36,5.75,-61134.06,-107541.66,-21508.33,1,4,35407.37
ADANIPORTS26JUNFUT,0.002,1.5,0.25,2.0,5.4373,-57604.99,5.8175,-34799.8,-90367.32,-18073.46,1,4,32192.13
ADANIPORTS26JUNFUT,0.002,1.5,0.25,3.0,7.6431,-480.63,6.27,-24369.34,-27256.83,-5451.37,1,4,16412.89
ADANIPORTS26JUNFUT,0.002,1.5,0.5,1.0,7.6125,7258.82,5.3875,-103720.93,-113820.14,-22764.03,1,4,51953.96
ADANIPORTS26JUNFUT,0.002,1.5,0.5,1.5,6.1765,-39981.36,5.75,-61134.06,-107541.66,-21508.33,1,4,35407.37
ADANIPORTS26JUNFUT,0.002,1.5,0.5,2.0,5.4373,-57604.99,5.8175,-34799.8,-90367.32,-18073.46,1,4,32192.13
ADANIPORTS26JUNFUT,0.002,1.5,0.5,3.0,7.6431,-480.63,6.27,-24369.34,-27256.83,-5451.37,1,4,16412.89
ADANIPORTS26JUNFUT,0.002,2.0,0.05,1.0,5.8298,-122071.64,5.0075,-202365.67,-306707.97,-61341.59,1,4,55810.11
ADANIPORTS26JUNFUT,0.002,2.0,0.05,1.5,7.026,-61752.72,5.605,-123458.34,-170817.74,-34163.55,0,4,31972.62
ADANIPORTS26JUNFUT,0.002,2.0,0.05,2.0,6.2525,-76457.08,5.7625,-111503.9,-180397.78,-36079.56,1,4,34873.14
ADANIPORTS26JUNFUT,0.002,2.0,0.05,3.0,6.496,-80283.18,6.0275,-62757.4,-130046.79,-26009.36,0,4,22906.99
ADANIPORTS26JUNFUT,0.002,2.0,0.1,1.0,5.8298,-122071.64,5.0075,-202365.67,-306707.97,-61341.59,1,4,55810.11
ADANIPORTS26JUNFUT,0.002,2.0,0.1,1.5,7.026,-61752.72,5.605,-123458.34,-170817.74,-34163.55,0,4,31972.62
ADANIPORTS26JUNFUT,0.002,2.0,0.1,2.0,6.2525,-76457.08,5.7625,-111503.9,-180397.78,-36079.56,1,4,34873.14
ADANIPORTS26JUNFUT,0.002,2.0,0.1,3.0,6.496,-80283.18,6.0275,-62757.4,-130046.79,-26009.36,0,4,22906.99
